#Var1	Var2
0.00628318530717959	17334.4779636722
0.0073645359343738	12617.6865007113
0.0086319894889474	9184.35576565268
0.0101175747122801	6685.25017049064
0.0118588325657301	4866.16274264818
0.0138997648963572	3542.05740010466
0.0162919463701955	2578.24723281008
0.0190958277717983	1876.69426060018
0.0223822636046285	1366.03709021768
0.026234302594985	994.332092886355
0.0307492863457705	723.769740971095
0.0360413091733924	526.828653820024
0.0422441012882478	383.476145484373
0.0495144081771923	279.130516324932
0.0580359515854976	203.177814477637
0.0680240721929036	147.892193370409
0.0797311713048856	107.650044942864
0.0934530890714918	78.3579708441817
0.109536580412297	57.0364053082976
0.128388077565214	41.5165361665814
0.150483960690094	30.2196950518603
0.176382596066797	21.9967765461737
0.206738446094812	16.011352119601
0.242318607656231	11.6545893058337
0.284022196768982	8.48332176277432
0.33290306938343	6.17497075548921
0.390196452480266	4.49473271171517
0.457350158441533	3.2716951949616
0.536061171486622	2.38145183157069
0.628318530717959	1.73344779636722
